Item Name,Listings,Price,Currency,Timestamp
Sticker | stavn (Gold) | Antwerp 2022,17,7.97,CDN,2023-08-28 10:29:27.969035
Sticker | Spinx | Antwerp 2022,"17,798",0.03,CDN,2023-08-28 10:29:54.769800
Sticker | Plopski | Antwerp 2022,"12,356",0.03,CDN,2023-08-28 10:29:54.769800
Sticker | sico | Antwerp 2022,"8,723",0.03,CDN,2023-08-28 10:29:54.769800
Sticker | JaCkz | Antwerp 2022,"19,341",0.03,CDN,2023-08-28 10:29:54.769800
Sticker | bLitz | Antwerp 2022,"15,712",0.03,CDN,2023-08-28 10:29:54.769800
Sticker | FaNg | Antwerp 2022,"11,070",0.03,CDN,2023-08-28 10:29:54.769800
Sticker | Magisk | Antwerp 2022,"14,912",0.03,CDN,2023-08-28 10:29:54.769800
Sticker | KENSi | Antwerp 2022,"15,849",0.03,CDN,2023-08-28 10:29:54.769800
Sticker | chelo | Antwerp 2022,"27,823",0.03,CDN,2023-08-28 10:29:54.769800
Sticker | SENER1 | Antwerp 2022,"21,100",0.03,CDN,2023-08-28 10:29:54.769800
Sticker | chelo | Antwerp 2022,"27,823",0.03,CDN,2023-08-28 10:29:59.981682
Sticker | ins | Antwerp 2022,"13,659",0.03,CDN,2023-08-28 10:29:59.981682
Sticker | Grim | Antwerp 2022,"9,304",0.03,CDN,2023-08-28 10:29:59.981682
Sticker | apEX | Antwerp 2022,"8,709",0.03,CDN,2023-08-28 10:29:59.981682
Sticker | tabseN | Antwerp 2022,"11,310",0.03,CDN,2023-08-28 10:29:59.981682
Sticker | refrezh | Antwerp 2022,"13,134",0.03,CDN,2023-08-28 10:29:59.981682
Sticker | Techno4K | Antwerp 2022,"11,311",0.03,CDN,2023-08-28 10:29:59.981682
Sticker | TeSeS | Antwerp 2022,"10,188",0.03,CDN,2023-08-28 10:29:59.981682
Sticker | roeJ | Antwerp 2022,"15,509",0.03,CDN,2023-08-28 10:29:59.981682
Sticker | es3tag | Antwerp 2022,"9,423",0.03,CDN,2023-08-28 10:29:59.981682
Sticker | hampus | Antwerp 2022,"8,538",0.03,CDN,2023-08-28 10:30:03.677811
Sticker | stavn | Antwerp 2022,"10,176",0.03,CDN,2023-08-28 10:30:03.677811
Sticker | hatz | Antwerp 2022,"8,513",0.03,CDN,2023-08-28 10:30:03.677811
Sticker | syrsoN | Antwerp 2022,"16,146",0.03,CDN,2023-08-28 10:30:03.677811
Sticker | Zyphon | Antwerp 2022,"10,854",0.03,CDN,2023-08-28 10:30:03.677811
Sticker | EliGE | Antwerp 2022,"14,963",0.03,CDN,2023-08-28 10:30:03.677811
Sticker | shalfey | Antwerp 2022,"14,548",0.03,CDN,2023-08-28 10:30:03.677811
Sticker | Farlig | Antwerp 2022,"14,484",0.03,CDN,2023-08-28 10:30:03.677811
Sticker | maden | Antwerp 2022,"12,820",0.03,CDN,2023-08-28 10:30:03.677811
Sticker | rain (Champion) | Antwerp 2022,"35,191",0.03,CDN,2023-08-28 10:30:03.677811
Sticker | sk0R | Antwerp 2022,"5,430",0.03,CDN,2023-08-28 10:30:06.835806
Sticker | Brollan | Antwerp 2022,"7,216",0.03,CDN,2023-08-28 10:30:06.835806
Sticker | dupreeh | Antwerp 2022,"9,930",0.03,CDN,2023-08-28 10:30:06.835806
Sticker | oSee | Antwerp 2022,"11,048",0.03,CDN,2023-08-28 10:30:06.835806
Sticker | drop | Antwerp 2022,"6,136",0.03,CDN,2023-08-28 10:30:06.835806
Sticker | kabal | Antwerp 2022,"10,557",0.03,CDN,2023-08-28 10:30:06.835806
Sticker | karrigan (Champion) | Antwerp 2022,"28,995",0.03,CDN,2023-08-28 10:30:06.835806
Sticker | REZ | Antwerp 2022,"10,178",0.03,CDN,2023-08-28 10:30:06.835806
Sticker | Perfecto | Antwerp 2022,"8,689",0.03,CDN,2023-08-28 10:30:06.835806
Sticker | floppy | Antwerp 2022,"7,932",0.03,CDN,2023-08-28 10:30:06.835806
Sticker | imoRR | Antwerp 2022,"8,711",0.03,CDN,2023-08-28 10:30:13.077425
Sticker | xfl0ud | Antwerp 2022,"9,207",0.03,CDN,2023-08-28 10:30:13.077425
Sticker | junior | Antwerp 2022,"9,678",0.03,CDN,2023-08-28 10:30:13.077425
Sticker | saffee | Antwerp 2022,"5,681",0.03,CDN,2023-08-28 10:30:13.077425
Sticker | Patsi | Antwerp 2022,"9,270",0.03,CDN,2023-08-28 10:30:13.077425
Sticker | JT | Antwerp 2022,"8,511",0.03,CDN,2023-08-28 10:30:13.077425
Sticker | broky | Antwerp 2022,"6,163",0.03,CDN,2023-08-28 10:30:13.077425
Sticker | nicoodoz | Antwerp 2022,"9,282",0.03,CDN,2023-08-28 10:30:13.077425
Sticker | hades | Antwerp 2022,"8,584",0.03,CDN,2023-08-28 10:30:13.077425
Sticker | nitr0 | Antwerp 2022,"9,198",0.03,CDN,2023-08-28 10:30:13.077425
Sticker | nitr0 | Antwerp 2022,"9,198",0.03,CDN,2023-08-28 10:30:16.744136
Sticker | Renegades | Antwerp 2022,"48,854",0.03,CDN,2023-08-28 10:30:16.744136
Sticker | blameF | Antwerp 2022,"23,635",0.03,CDN,2023-08-28 10:30:16.744136
Sticker | woxic | Antwerp 2022,"9,121",0.03,CDN,2023-08-28 10:30:16.744136
Sticker | WOOD7 | Antwerp 2022,"9,644",0.03,CDN,2023-08-28 10:30:16.744136
Sticker | electronic | Antwerp 2022,"9,489",0.03,CDN,2023-08-28 10:30:16.744136
Sticker | Calyx | Antwerp 2022,"11,718",0.03,CDN,2023-08-28 10:30:16.744136
Sticker | shox | Antwerp 2022,"4,572",0.03,CDN,2023-08-28 10:30:16.744136
Sticker | rain | Antwerp 2022,"6,974",0.03,CDN,2023-08-28 10:30:16.744136
Sticker | buster | Antwerp 2022,"5,269",0.03,CDN,2023-08-28 10:30:16.744136
Sticker | yuurih | Antwerp 2022,"4,345",0.03,CDN,2023-08-28 10:30:18.858773
Sticker | FL1T | Antwerp 2022,"5,929",0.03,CDN,2023-08-28 10:30:18.858773
Sticker | ropz (Champion) | Antwerp 2022,"34,212",0.03,CDN,2023-08-28 10:30:18.858773
Sticker | exit | Antwerp 2022,"10,716",0.03,CDN,2023-08-28 10:30:18.858773
Sticker | PGL | Antwerp 2022,"66,348",0.03,CDN,2023-08-28 10:30:18.858773
Sticker | Aleksib | Antwerp 2022,"8,452",0.03,CDN,2023-08-28 10:30:18.858773
Sticker | KSCERATO | Antwerp 2022,"4,925",0.03,CDN,2023-08-28 10:30:18.858773
Sticker | BIG | Antwerp 2022,"94,602",0.03,CDN,2023-08-28 10:30:18.858773
Sticker | Twistzz (Champion) | Antwerp 2022,"16,561",0.03,CDN,2023-08-28 10:30:18.858773
Sticker | dgt | Antwerp 2022,"9,205",0.03,CDN,2023-08-28 10:30:18.858773
Sticker | qikert | Antwerp 2022,"6,490",0.03,CDN,2023-08-28 10:30:23.023225
Sticker | S1ren | Antwerp 2022,"3,398",0.03,CDN,2023-08-28 10:30:23.023225
Sticker | forZe eSports | Antwerp 2022,"24,370",0.03,CDN,2023-08-28 10:30:23.023225
Sticker | magixx | Antwerp 2022,"5,768",0.03,CDN,2023-08-28 10:30:23.023225
Sticker | chopper | Antwerp 2022,"6,626",0.03,CDN,2023-08-28 10:30:23.023225
Sticker | Xyp9x | Antwerp 2022,"4,723",0.03,CDN,2023-08-28 10:30:23.023225
Sticker | nin9 | Antwerp 2022,"6,188",0.03,CDN,2023-08-28 10:30:23.023225
Sticker | Ninjas in Pyjamas | Antwerp 2022,"39,335",0.03,CDN,2023-08-28 10:30:23.023225
Sticker | dav1d | Antwerp 2022,"7,586",0.03,CDN,2023-08-28 10:30:23.023225
Sticker | karrigan | Antwerp 2022,"5,221",0.03,CDN,2023-08-28 10:30:23.023225
Sticker | cadiaN | Antwerp 2022,"3,457",0.03,CDN,2023-08-28 10:30:25.150316
Sticker | IHC Esports | Antwerp 2022,"28,684",0.03,CDN,2023-08-28 10:30:25.150316
Sticker | HooXi | Antwerp 2022,"5,629",0.03,CDN,2023-08-28 10:30:25.150316
Sticker | ENCE | Antwerp 2022,"24,997",0.03,CDN,2023-08-28 10:30:25.150316
Sticker | b1t | Antwerp 2022,"4,269",0.03,CDN,2023-08-28 10:30:25.150316
Sticker | Vitality | Antwerp 2022,"28,677",0.03,CDN,2023-08-28 10:30:25.150316
Sticker | Boombl4 | Antwerp 2022,"8,042",0.03,CDN,2023-08-28 10:30:25.150316
Sticker | ropz | Antwerp 2022,"6,620",0.03,CDN,2023-08-28 10:30:25.150316
Sticker | zorte | Antwerp 2022,"6,148",0.03,CDN,2023-08-28 10:30:25.150316
Sticker | fer | Antwerp 2022,"7,298",0.04,CDN,2023-08-28 10:30:25.150316
Sticker | YEKINDAR | Antwerp 2022,"4,327",0.04,CDN,2023-08-28 10:30:27.313752
Sticker | Twistzz | Antwerp 2022,"2,475",0.04,CDN,2023-08-28 10:30:27.313752
Sticker | Bad News Eagles | Antwerp 2022,"23,872",0.04,CDN,2023-08-28 10:30:27.313752
Sticker | Hobbit | Antwerp 2022,"5,575",0.04,CDN,2023-08-28 10:30:27.313752
Sticker | interz | Antwerp 2022,"3,412",0.04,CDN,2023-08-28 10:30:27.313752
Sticker | luken | Antwerp 2022,"2,316",0.04,CDN,2023-08-28 10:30:27.313752
Sticker | MIBR | Antwerp 2022,"19,937",0.04,CDN,2023-08-28 10:30:27.313752
Sticker | nafany | Antwerp 2022,"3,753",0.04,CDN,2023-08-28 10:30:27.313752
Sticker | boltz | Antwerp 2022,"4,159",0.04,CDN,2023-08-28 10:30:27.313752
Sticker | fnx | Antwerp 2022,"9,539",0.04,CDN,2023-08-28 10:30:27.313752
Sticker | Team Liquid | Antwerp 2022,"19,653",0.04,CDN,2023-08-28 10:30:29.481323
Sticker | SENER1 (Glitter) | Antwerp 2022,"1,577",0.04,CDN,2023-08-28 10:30:29.481323
Sticker | Techno4K (Glitter) | Antwerp 2022,676,0.04,CDN,2023-08-28 10:30:29.481323
Sticker | Jame | Antwerp 2022,"2,324",0.04,CDN,2023-08-28 10:30:29.481323
Sticker | FURIA | Antwerp 2022,"14,807",0.04,CDN,2023-08-28 10:30:29.481323
Sticker | rigoN (Glitter) | Antwerp 2022,"1,125",0.04,CDN,2023-08-28 10:30:29.481323
Sticker | misutaaa (Glitter) | Antwerp 2022,"1,201",0.04,CDN,2023-08-28 10:30:29.481323
Sticker | sinnopsyy (Glitter) | Antwerp 2022,"1,359",0.04,CDN,2023-08-28 10:30:29.481323
Sticker | Heroic | Antwerp 2022,"32,075",0.04,CDN,2023-08-28 10:30:29.481323
Sticker | Ax1Le | Antwerp 2022,"2,672",0.04,CDN,2023-08-28 10:30:29.481323
Sticker | juanflatroo (Glitter) | Antwerp 2022,"1,182",0.04,CDN,2023-08-28 10:30:32.184376
Sticker | Tuurtle (Glitter) | Antwerp 2022,"1,604",0.04,CDN,2023-08-28 10:30:32.184376
Sticker | JOTA (Glitter) | Antwerp 2022,"1,176",0.04,CDN,2023-08-28 10:30:32.184376
Sticker | kabal (Glitter) | Antwerp 2022,"1,002",0.04,CDN,2023-08-28 10:30:32.184376
Sticker | max | Antwerp 2022,"3,474",0.04,CDN,2023-08-28 10:30:32.184376
Sticker | Snappi (Glitter) | Antwerp 2022,"1,024",0.05,CDN,2023-08-28 10:30:32.184376
Sticker | Jerry (Glitter) | Antwerp 2022,"1,332",0.05,CDN,2023-08-28 10:30:32.184376
Sticker | arT | Antwerp 2022,"1,974",0.05,CDN,2023-08-28 10:30:32.184376
Sticker | aliStair (Glitter) | Antwerp 2022,"1,042",0.05,CDN,2023-08-28 10:30:32.184376
Sticker | Norwi (Glitter) | Antwerp 2022,812,0.05,CDN,2023-08-28 10:30:32.184376
Sticker | gxx- (Glitter) | Antwerp 2022,774,0.05,CDN,2023-08-28 10:30:34.348207
Sticker | es3tag (Glitter) | Antwerp 2022,719,0.05,CDN,2023-08-28 10:30:34.348207
Sticker | bLitz (Glitter) | Antwerp 2022,600,0.05,CDN,2023-08-28 10:30:34.348207
Sticker | ZywOo | Antwerp 2022,"4,999",0.05,CDN,2023-08-28 10:30:34.348207
Sticker | Plopski (Glitter) | Antwerp 2022,"1,155",0.05,CDN,2023-08-28 10:30:34.348207
Sticker | Magisk (Glitter) | Antwerp 2022,975,0.05,CDN,2023-08-28 10:30:34.348207
Sticker | chelo (Glitter) | Antwerp 2022,"1,122",0.05,CDN,2023-08-28 10:30:34.348207
Sticker | dycha (Glitter) | Antwerp 2022,"1,116",0.05,CDN,2023-08-28 10:30:34.348207
Sticker | KENSi (Glitter) | Antwerp 2022,"1,891",0.05,CDN,2023-08-28 10:30:34.348207
Sticker | REZ (Glitter) | Antwerp 2022,784,0.05,CDN,2023-08-28 10:30:34.348207
Sticker | shalfey (Glitter) | Antwerp 2022,786,0.05,CDN,2023-08-28 10:30:37.552356
Sticker | Spinx (Glitter) | Antwerp 2022,"1,560",0.05,CDN,2023-08-28 10:30:37.552356
Sticker | hatz (Glitter) | Antwerp 2022,488,0.05,CDN,2023-08-28 10:30:37.552356
Sticker | Liazz | Antwerp 2022,"2,775",0.05,CDN,2023-08-28 10:30:37.552356
Sticker | sjuush (Glitter) | Antwerp 2022,444,0.05,CDN,2023-08-28 10:30:37.552356
Sticker | hampus (Glitter) | Antwerp 2022,"1,208",0.05,CDN,2023-08-28 10:30:37.552356
Sticker | tiziaN (Glitter) | Antwerp 2022,878,0.05,CDN,2023-08-28 10:30:37.552356
Sticker | FaZe Clan | Antwerp 2022,"23,728",0.05,CDN,2023-08-28 10:30:37.552356
Sticker | Farlig (Glitter) | Antwerp 2022,710,0.05,CDN,2023-08-28 10:30:37.552356
Sticker | refrezh (Glitter) | Antwerp 2022,835,0.05,CDN,2023-08-28 10:30:37.552356
Sticker | sico (Glitter) | Antwerp 2022,638,0.05,CDN,2023-08-28 10:30:41.870902
Sticker | ins (Glitter) | Antwerp 2022,817,0.05,CDN,2023-08-28 10:30:41.870902
Sticker | Brollan (Glitter) | Antwerp 2022,535,0.05,CDN,2023-08-28 10:30:41.870902
Sticker | Zyphon (Glitter) | Antwerp 2022,562,0.05,CDN,2023-08-28 10:30:41.870902
Sticker | dupreeh (Glitter) | Antwerp 2022,"1,353",0.05,CDN,2023-08-28 10:30:41.870902
Sticker | Team Spirit | Antwerp 2022,"13,031",0.06,CDN,2023-08-28 10:30:41.870902
Sticker | faveN (Glitter) | Antwerp 2022,443,0.06,CDN,2023-08-28 10:30:41.870902
Sticker | oSee (Glitter) | Antwerp 2022,551,0.06,CDN,2023-08-28 10:30:41.870902
Sticker | xfl0ud (Glitter) | Antwerp 2022,530,0.06,CDN,2023-08-28 10:30:41.870902
Sticker | roeJ (Glitter) | Antwerp 2022,"1,002",0.06,CDN,2023-08-28 10:30:41.870902
Sticker | Complexity Gaming | Antwerp 2022,"5,844",0.06,CDN,2023-08-28 10:30:45.037647
Sticker | NAF (Glitter) | Antwerp 2022,495,0.06,CDN,2023-08-28 10:30:45.037647
Sticker | syrsoN (Glitter) | Antwerp 2022,503,0.06,CDN,2023-08-28 10:30:45.037647
Sticker | FaNg (Glitter) | Antwerp 2022,599,0.06,CDN,2023-08-28 10:30:45.037647
Sticker | gla1ve (Glitter) | Antwerp 2022,"1,226",0.06,CDN,2023-08-28 10:30:45.037647
Sticker | JaCkz (Glitter) | Antwerp 2022,370,0.07,CDN,2023-08-28 10:30:45.037647
"Sticker | broky (Glitter, Champion) | Antwerp 2022","2,091",0.07,CDN,2023-08-28 10:30:45.037647
Sticker | Krimbo (Glitter) | Antwerp 2022,"1,137",0.07,CDN,2023-08-28 10:30:45.037647
Sticker | Copenhagen Flames | Antwerp 2022,"23,987",0.07,CDN,2023-08-28 10:30:45.037647
Sticker | Perfecto (Glitter) | Antwerp 2022,529,0.07,CDN,2023-08-28 10:30:45.037647
Sticker | G2 Esports | Antwerp 2022,"10,131",0.07,CDN,2023-08-28 10:30:47.194675
Sticker | nicoodoz (Glitter) | Antwerp 2022,529,0.07,CDN,2023-08-28 10:30:47.194675
Sticker | junior (Glitter) | Antwerp 2022,729,0.07,CDN,2023-08-28 10:30:47.194675
"Sticker | karrigan (Glitter, Champion) | Antwerp 2022","1,800",0.07,CDN,2023-08-28 10:30:47.194675
Sticker | woxic (Glitter) | Antwerp 2022,"1,038",0.07,CDN,2023-08-28 10:30:47.194675
Sticker | k0nfig (Glitter) | Antwerp 2022,"1,155",0.07,CDN,2023-08-28 10:30:47.194675
Sticker | EliGE (Glitter) | Antwerp 2022,665,0.07,CDN,2023-08-28 10:30:47.194675
Sticker | imoRR (Glitter) | Antwerp 2022,399,0.07,CDN,2023-08-28 10:30:47.194675
Sticker | TeSeS (Glitter) | Antwerp 2022,502,0.08,CDN,2023-08-28 10:30:47.194675
Sticker | nitr0 (Glitter) | Antwerp 2022,872,0.08,CDN,2023-08-28 10:30:47.194675
Sticker | Natus Vincere | Antwerp 2022,"11,529",0.08,CDN,2023-08-28 10:30:50.378601
Sticker | sk0R (Glitter) | Antwerp 2022,305,0.08,CDN,2023-08-28 10:30:50.378601
Sticker | stavn (Glitter) | Antwerp 2022,360,0.08,CDN,2023-08-28 10:30:50.378601
Sticker | sh1ro | Antwerp 2022,"2,425",0.08,CDN,2023-08-28 10:30:50.378601
Sticker | hades (Glitter) | Antwerp 2022,761,0.08,CDN,2023-08-28 10:30:50.378601
Sticker | XANTARES | Antwerp 2022,"2,113",0.08,CDN,2023-08-28 10:30:50.378601
Sticker | blameF (Glitter) | Antwerp 2022,531,0.08,CDN,2023-08-28 10:30:50.378601
Sticker | Aleksib (Glitter) | Antwerp 2022,517,0.09,CDN,2023-08-28 10:30:50.378601
Sticker | electronic (Glitter) | Antwerp 2022,594,0.09,CDN,2023-08-28 10:30:50.378601
Sticker | saffee (Glitter) | Antwerp 2022,442,0.09,CDN,2023-08-28 10:30:50.378601
Sticker | zorte (Glitter) | Antwerp 2022,359,0.09,CDN,2023-08-28 10:30:53.515741
Sticker | Grim (Glitter) | Antwerp 2022,357,0.09,CDN,2023-08-28 10:30:53.515741
Sticker | buster (Glitter) | Antwerp 2022,598,0.09,CDN,2023-08-28 10:30:53.515741
"Sticker | rain (Glitter, Champion) | Antwerp 2022","1,448",0.09,CDN,2023-08-28 10:30:53.515741
Sticker | floppy (Glitter) | Antwerp 2022,900,0.09,CDN,2023-08-28 10:30:53.515741
Sticker | exit (Glitter) | Antwerp 2022,"1,224",0.09,CDN,2023-08-28 10:30:53.515741
Sticker | shox (Glitter) | Antwerp 2022,451,0.09,CDN,2023-08-28 10:30:53.515741
Sticker | FL1T (Glitter) | Antwerp 2022,325,0.09,CDN,2023-08-28 10:30:53.515741
Sticker | Calyx (Glitter) | Antwerp 2022,542,0.09,CDN,2023-08-28 10:30:53.515741
Sticker | broky (Glitter) | Antwerp 2022,464,0.09,CDN,2023-08-28 10:30:53.515741
Sticker | maden (Glitter) | Antwerp 2022,255,0.09,CDN,2023-08-28 10:30:56.732020
Sticker | huNter (Glitter) | Antwerp 2022,533,0.09,CDN,2023-08-28 10:30:56.732020
Sticker | S1ren (Glitter) | Antwerp 2022,557,0.09,CDN,2023-08-28 10:30:56.732020
Sticker | karrigan (Glitter) | Antwerp 2022,482,0.09,CDN,2023-08-28 10:30:56.732020
Sticker | apEX (Glitter) | Antwerp 2022,563,0.1,CDN,2023-08-28 10:30:56.732020
Sticker | tabseN (Glitter) | Antwerp 2022,399,0.1,CDN,2023-08-28 10:30:56.732020
Sticker | b1t (Glitter) | Antwerp 2022,387,0.1,CDN,2023-08-28 10:30:56.732020
Sticker | rain (Glitter) | Antwerp 2022,715,0.1,CDN,2023-08-28 10:30:56.732020
Sticker | Astralis | Antwerp 2022,"15,657",0.1,CDN,2023-08-28 10:30:56.732020
Sticker | Boombl4 (Glitter) | Antwerp 2022,710,0.1,CDN,2023-08-28 10:30:56.732020
Sticker | Outsiders | Antwerp 2022,"15,952",0.11,CDN,2023-08-28 10:30:59.927466
Sticker | s1mple | Antwerp 2022,942,0.11,CDN,2023-08-28 10:30:59.927466
Sticker | magixx (Glitter) | Antwerp 2022,370,0.11,CDN,2023-08-28 10:30:59.927466
Sticker | degster (Glitter) | Antwerp 2022,498,0.11,CDN,2023-08-28 10:30:59.927466
Sticker | Xyp9x (Glitter) | Antwerp 2022,386,0.11,CDN,2023-08-28 10:30:59.927466
Sticker | NiKo | Antwerp 2022,"2,117",0.12,CDN,2023-08-28 10:30:59.927466
Sticker | drop (Glitter) | Antwerp 2022,412,0.12,CDN,2023-08-28 10:30:59.927466
Sticker | KSCERATO (Glitter) | Antwerp 2022,351,0.13,CDN,2023-08-28 10:30:59.927466
Sticker | forZe eSports (Glitter) | Antwerp 2022,"2,169",0.13,CDN,2023-08-28 10:30:59.927466
Sticker | qikert (Glitter) | Antwerp 2022,497,0.13,CDN,2023-08-28 10:30:59.927466
"Sticker | ropz (Glitter, Champion) | Antwerp 2022",886,0.13,CDN,2023-08-28 10:31:16.160367
Sticker | VINI | Antwerp 2022,"3,749",0.14,CDN,2023-08-28 10:31:16.160367
Sticker | WOOD7 (Glitter) | Antwerp 2022,382,0.14,CDN,2023-08-28 10:31:16.160367
Sticker | 9z Team | Antwerp 2022,"7,736",0.14,CDN,2023-08-28 10:31:16.160367
Sticker | FalleN | Antwerp 2022,"7,506",0.14,CDN,2023-08-28 10:31:16.160367
Sticker | dav1d (Glitter) | Antwerp 2022,162,0.14,CDN,2023-08-28 10:31:16.160367
Sticker | Renegades (Glitter) | Antwerp 2022,"1,878",0.14,CDN,2023-08-28 10:31:16.160367
Sticker | dgt (Glitter) | Antwerp 2022,528,0.14,CDN,2023-08-28 10:31:16.160367
Sticker | nin9 (Glitter) | Antwerp 2022,320,0.15,CDN,2023-08-28 10:31:16.160367
Sticker | Patsi (Glitter) | Antwerp 2022,494,0.15,CDN,2023-08-28 10:31:16.160367
Sticker | cadiaN (Glitter) | Antwerp 2022,206,0.15,CDN,2023-08-28 10:31:18.698834
"Sticker | Twistzz (Glitter, Champion) | Antwerp 2022",956,0.16,CDN,2023-08-28 10:31:18.698834
Sticker | fnx (Glitter) | Antwerp 2022,"1,161",0.16,CDN,2023-08-28 10:31:18.698834
Sticker | fer (Glitter) | Antwerp 2022,525,0.17,CDN,2023-08-28 10:31:18.698834
Sticker | yuurih (Glitter) | Antwerp 2022,195,0.17,CDN,2023-08-28 10:31:18.698834
Sticker | boltz (Glitter) | Antwerp 2022,359,0.17,CDN,2023-08-28 10:31:18.698834
Sticker | ENCE (Glitter) | Antwerp 2022,"1,074",0.18,CDN,2023-08-28 10:31:18.698834
Sticker | Hobbit (Glitter) | Antwerp 2022,411,0.18,CDN,2023-08-28 10:31:18.698834
Sticker | BIG (Glitter) | Antwerp 2022,"1,915",0.18,CDN,2023-08-28 10:31:18.698834
Sticker | Eternal Fire | Antwerp 2022,"10,410",0.2,CDN,2023-08-28 10:31:18.698834
Sticker | nafany (Glitter) | Antwerp 2022,212,0.2,CDN,2023-08-28 10:31:21.185204
Sticker | interz (Glitter) | Antwerp 2022,407,0.21,CDN,2023-08-28 10:31:21.185204
Sticker | chopper (Glitter) | Antwerp 2022,428,0.23,CDN,2023-08-28 10:31:21.185204
Sticker | m0NESY | Antwerp 2022,"3,299",0.23,CDN,2023-08-28 10:31:21.185204
Sticker | YEKINDAR (Glitter) | Antwerp 2022,495,0.23,CDN,2023-08-28 10:31:21.185204
Sticker | Ninjas in Pyjamas (Glitter) | Antwerp 2022,"2,025",0.23,CDN,2023-08-28 10:31:21.185204
Sticker | MIBR (Glitter) | Antwerp 2022,571,0.23,CDN,2023-08-28 10:31:21.185204
Sticker | HooXi (Glitter) | Antwerp 2022,179,0.24,CDN,2023-08-28 10:31:21.185204
Sticker | luken (Glitter) | Antwerp 2022,286,0.24,CDN,2023-08-28 10:31:21.185204
Sticker | IHC Esports (Glitter) | Antwerp 2022,816,0.26,CDN,2023-08-28 10:31:21.185204
Sticker | JT (Glitter) | Antwerp 2022,495,0.27,CDN,2023-08-28 10:31:24.853592
Sticker | Imperial Esports | Antwerp 2022,"6,284",0.27,CDN,2023-08-28 10:31:24.853592
Sticker | ropz (Glitter) | Antwerp 2022,399,0.29,CDN,2023-08-28 10:31:24.853592
Sticker | Bad News Eagles (Glitter) | Antwerp 2022,468,0.29,CDN,2023-08-28 10:31:24.853592
Sticker | Jame (Glitter) | Antwerp 2022,193,0.31,CDN,2023-08-28 10:31:24.853592
Sticker | XANTARES (Glitter) | Antwerp 2022,303,0.37,CDN,2023-08-28 10:31:24.853592
Sticker | Liazz (Glitter) | Antwerp 2022,180,0.37,CDN,2023-08-28 10:31:24.853592
Sticker | arT (Glitter) | Antwerp 2022,270,0.37,CDN,2023-08-28 10:31:24.853592
