Item Name,Listings,Price,Currency,Timestamp
Sticker | Liazz (Gold) | Rio 2022,11,22.4,CDN,2023-08-30 06:11:37.913019
Sticker | Sico | Rio 2022,"3,258",0.03,CDN,2023-08-30 06:11:49.080847
Sticker | Patsi | Rio 2022,"3,373",0.03,CDN,2023-08-30 06:11:49.080847
Sticker | v4lde | Rio 2022,"4,248",0.03,CDN,2023-08-30 06:11:49.080847
Sticker | Krimbo | Rio 2022,"4,911",0.03,CDN,2023-08-30 06:11:49.080847
Sticker | CeRq | Rio 2022,"4,282",0.03,CDN,2023-08-30 06:11:49.080847
Sticker | Brollan | Rio 2022,"5,437",0.03,CDN,2023-08-30 06:11:49.080847
Sticker | Vitality | Rio 2022,"38,717",0.03,CDN,2023-08-30 06:11:49.080847
Sticker | JDC | Rio 2022,"3,058",0.03,CDN,2023-08-30 06:11:49.080847
Sticker | neaLaN | Rio 2022,"4,364",0.03,CDN,2023-08-30 06:11:49.080847
Sticker | nitr0 | Rio 2022,"4,026",0.03,CDN,2023-08-30 06:11:50.753340
Sticker | siuhy | Rio 2022,"2,374",0.03,CDN,2023-08-30 06:11:50.753340
Sticker | S1ren | Rio 2022,"4,307",0.03,CDN,2023-08-30 06:11:50.753340
Sticker | vexite | Rio 2022,"4,222",0.03,CDN,2023-08-30 06:11:50.753340
Sticker | REZ | Rio 2022,"5,577",0.03,CDN,2023-08-30 06:11:50.753340
Sticker | Snappi | Rio 2022,"4,454",0.03,CDN,2023-08-30 06:11:50.753340
Sticker | tabseN | Rio 2022,"3,629",0.03,CDN,2023-08-30 06:11:50.753340
Sticker | broky | Rio 2022,"5,270",0.03,CDN,2023-08-30 06:11:50.753340
Sticker | SunPayus | Rio 2022,"3,850",0.03,CDN,2023-08-30 06:11:50.753340
Sticker | TeSeS | Rio 2022,"4,112",0.03,CDN,2023-08-30 06:11:50.753340
Sticker | Ninjas in Pyjamas | Rio 2022,"23,989",0.03,CDN,2023-08-30 06:11:52.921448
Sticker | FASHR | Rio 2022,"3,042",0.03,CDN,2023-08-30 06:11:52.921448
Sticker | NAF | Rio 2022,"7,270",0.03,CDN,2023-08-30 06:11:52.921448
Sticker | bLitz | Rio 2022,"2,866",0.03,CDN,2023-08-30 06:11:52.921448
Sticker | oSee | Rio 2022,"3,938",0.03,CDN,2023-08-30 06:11:52.921448
Sticker | rigoN | Rio 2022,"3,044",0.03,CDN,2023-08-30 06:11:52.921448
Sticker | faveN | Rio 2022,"3,534",0.03,CDN,2023-08-30 06:11:52.921448
Sticker | nicoodoz | Rio 2022,"2,403",0.03,CDN,2023-08-30 06:11:52.921448
Sticker | SENER1 | Rio 2022,"3,227",0.03,CDN,2023-08-30 06:11:52.921448
Sticker | Jame (Champion) | Rio 2022,"12,810",0.03,CDN,2023-08-30 06:11:52.921448
Sticker | chopper | Rio 2022,"4,621",0.03,CDN,2023-08-30 06:11:56.179166
Sticker | jabbi | Rio 2022,"3,989",0.03,CDN,2023-08-30 06:11:56.179166
Sticker | Techno4K | Rio 2022,"4,556",0.03,CDN,2023-08-30 06:11:56.179166
Sticker | Spinx | Rio 2022,"2,890",0.03,CDN,2023-08-30 06:11:56.179166
Sticker | NEOFRAG | Rio 2022,"2,527",0.03,CDN,2023-08-30 06:11:56.179166
Sticker | autimatic | Rio 2022,"3,852",0.03,CDN,2023-08-30 06:11:56.179166
Sticker | isak | Rio 2022,"2,492",0.03,CDN,2023-08-30 06:11:56.179166
Sticker | acoR | Rio 2022,"3,369",0.03,CDN,2023-08-30 06:11:56.179166
Sticker | Heroic | Rio 2022,"24,883",0.03,CDN,2023-08-30 06:11:56.179166
Sticker | Brehze | Rio 2022,"3,123",0.03,CDN,2023-08-30 06:11:56.179166
Sticker | Fnatic | Rio 2022,"35,442",0.03,CDN,2023-08-30 06:11:58.397996
Sticker | roeJ | Rio 2022,"2,222",0.03,CDN,2023-08-30 06:11:58.397996
Sticker | Magisk | Rio 2022,"2,372",0.03,CDN,2023-08-30 06:11:58.397996
Sticker | juanflatroo | Rio 2022,"3,449",0.03,CDN,2023-08-30 06:11:58.397996
Sticker | sdy | Rio 2022,"3,024",0.03,CDN,2023-08-30 06:11:58.397996
Sticker | ANNIHILATION | Rio 2022,"2,607",0.03,CDN,2023-08-30 06:11:58.397996
Sticker | Team Liquid | Rio 2022,"25,621",0.03,CDN,2023-08-30 06:11:58.397996
Sticker | stavn | Rio 2022,"3,594",0.03,CDN,2023-08-30 06:11:58.397996
Sticker | YEKINDAR | Rio 2022,"3,422",0.03,CDN,2023-08-30 06:11:58.397996
Sticker | sk0R | Rio 2022,"2,346",0.03,CDN,2023-08-30 06:11:58.397996
Sticker | drop | Rio 2022,"3,515",0.03,CDN,2023-08-30 06:12:00.642337
Sticker | Keoz | Rio 2022,"2,913",0.03,CDN,2023-08-30 06:12:00.642337
Sticker | yuurih | Rio 2022,"2,516",0.03,CDN,2023-08-30 06:12:00.642337
Sticker | saffee | Rio 2022,"2,850",0.03,CDN,2023-08-30 06:12:00.642337
Sticker | F1KU | Rio 2022,"2,012",0.03,CDN,2023-08-30 06:12:00.642337
Sticker | Aleksib | Rio 2022,"3,941",0.03,CDN,2023-08-30 06:12:00.642337
Sticker | dupreeh | Rio 2022,"1,908",0.03,CDN,2023-08-30 06:12:00.642337
Sticker | sinnopsyy | Rio 2022,"1,997",0.03,CDN,2023-08-30 06:12:00.642337
Sticker | sjuush | Rio 2022,"2,665",0.03,CDN,2023-08-30 06:12:00.642337
Sticker | FL1T | Rio 2022,"6,587",0.03,CDN,2023-08-30 06:12:00.642337
Sticker | fame | Rio 2022,"1,704",0.03,CDN,2023-08-30 06:12:02.294298
Sticker | slaxz- | Rio 2022,"2,953",0.03,CDN,2023-08-30 06:12:02.294298
Sticker | lauNX | Rio 2022,"3,122",0.03,CDN,2023-08-30 06:12:02.294298
Sticker | xertioN | Rio 2022,"2,083",0.03,CDN,2023-08-30 06:12:02.294298
Sticker | Perfecto | Rio 2022,"3,018",0.03,CDN,2023-08-30 06:12:02.294298
Sticker | refrezh | Rio 2022,"2,697",0.04,CDN,2023-08-30 06:12:02.294298
Sticker | FURIA | Rio 2022,"23,508",0.04,CDN,2023-08-30 06:12:02.294298
Sticker | gxx- | Rio 2022,"1,349",0.04,CDN,2023-08-30 06:12:02.294298
Sticker | degster | Rio 2022,"1,888",0.04,CDN,2023-08-30 06:12:02.294298
Sticker | n0rb3r7 | Rio 2022,"3,426",0.04,CDN,2023-08-30 06:12:02.294298
Sticker | EliGE | Rio 2022,"5,126",0.04,CDN,2023-08-30 06:12:04.539405
Sticker | Zyphon | Rio 2022,"4,138",0.04,CDN,2023-08-30 06:12:04.539405
Sticker | Team Spirit | Rio 2022,"14,662",0.04,CDN,2023-08-30 06:12:04.539405
Sticker | Staehr | Rio 2022,"2,719",0.04,CDN,2023-08-30 06:12:04.539405
Sticker | Liazz | Rio 2022,"1,180",0.04,CDN,2023-08-30 06:12:04.539405
Sticker | torzsi | Rio 2022,"1,586",0.04,CDN,2023-08-30 06:12:04.539405
Sticker | rain | Rio 2022,"1,884",0.04,CDN,2023-08-30 06:12:04.539405
Sticker | FlameZ | Rio 2022,"3,101",0.04,CDN,2023-08-30 06:12:04.539405
Sticker | chelo | Rio 2022,"1,642",0.04,CDN,2023-08-30 06:12:04.539405
Sticker | 9z Team | Rio 2022,"27,403",0.04,CDN,2023-08-30 06:12:04.539405
Sticker | Sprout Esports | Rio 2022,"19,013",0.04,CDN,2023-08-30 06:12:08.779259
Sticker | Jame | Rio 2022,"1,458",0.04,CDN,2023-08-30 06:12:08.779259
Sticker | b1t | Rio 2022,"2,094",0.04,CDN,2023-08-30 06:12:08.779259
Sticker | KRIMZ | Rio 2022,"1,162",0.04,CDN,2023-08-30 06:12:08.779259
Sticker | mezii | Rio 2022,"1,357",0.04,CDN,2023-08-30 06:12:08.779259
Sticker | qikert | Rio 2022,"1,251",0.04,CDN,2023-08-30 06:12:08.779259
Sticker | frozen | Rio 2022,"2,069",0.04,CDN,2023-08-30 06:12:08.779259
Sticker | electronic | Rio 2022,"3,577",0.04,CDN,2023-08-30 06:12:08.779259
Sticker | dumau | Rio 2022,"2,379",0.04,CDN,2023-08-30 06:12:08.779259
Sticker | syrsoN | Rio 2022,"1,626",0.04,CDN,2023-08-30 06:12:08.779259
Sticker | KSCERATO | Rio 2022,"1,791",0.04,CDN,2023-08-30 06:12:24.365981
Sticker | latto | Rio 2022,"1,354",0.04,CDN,2023-08-30 06:12:24.365981
Sticker | kabal | Rio 2022,"1,450",0.04,CDN,2023-08-30 06:12:24.365981
Sticker | interz | Rio 2022,"2,163",0.04,CDN,2023-08-30 06:12:24.365981
Sticker | cadiaN | Rio 2022,"2,227",0.04,CDN,2023-08-30 06:12:24.365981
Sticker | boltz | Rio 2022,"1,226",0.04,CDN,2023-08-30 06:12:24.365981
Sticker | TRY | Rio 2022,"1,460",0.05,CDN,2023-08-30 06:12:24.365981
Sticker | karrigan | Rio 2022,996,0.05,CDN,2023-08-30 06:12:24.365981
Sticker | arT | Rio 2022,"1,368",0.05,CDN,2023-08-30 06:12:24.365981
Sticker | Imperial Esports | Rio 2022,"25,081",0.05,CDN,2023-08-30 06:12:24.365981
Sticker | Twistzz | Rio 2022,"1,253",0.05,CDN,2023-08-30 06:12:25.481510
Sticker | iM | Rio 2022,942,0.05,CDN,2023-08-30 06:12:25.481510
Sticker | fer | Rio 2022,"2,181",0.05,CDN,2023-08-30 06:12:25.481510
Sticker | TACO | Rio 2022,"1,554",0.05,CDN,2023-08-30 06:12:25.481510
Sticker | ropz | Rio 2022,803,0.05,CDN,2023-08-30 06:12:25.481510
Sticker | nafany | Rio 2022,"1,417",0.05,CDN,2023-08-30 06:12:25.481510
Sticker | FaZe Clan | Rio 2022,"15,087",0.05,CDN,2023-08-30 06:12:25.481510
Sticker | dgt | Rio 2022,"1,691",0.06,CDN,2023-08-30 06:12:25.481510
Sticker | Hobbit | Rio 2022,"2,371",0.06,CDN,2023-08-30 06:12:25.481510
Sticker | dexter | Rio 2022,926,0.06,CDN,2023-08-30 06:12:25.481510
Sticker | Natus Vincere | Rio 2022,"8,827",0.06,CDN,2023-08-30 06:12:27.620981
Sticker | dav1deuS | Rio 2022,857,0.06,CDN,2023-08-30 06:12:27.620981
Sticker | apEX | Rio 2022,"1,252",0.06,CDN,2023-08-30 06:12:27.620981
Sticker | Outsiders | Rio 2022,"20,418",0.06,CDN,2023-08-30 06:12:27.620981
Sticker | BUDA | Rio 2022,722,0.06,CDN,2023-08-30 06:12:27.620981
Sticker | hampus (Glitter) | Rio 2022,556,0.06,CDN,2023-08-30 06:12:27.620981
Sticker | slaxz- (Glitter) | Rio 2022,535,0.07,CDN,2023-08-30 06:12:27.620981
"Sticker | qikert (Glitter, Champion) | Rio 2022",651,0.07,CDN,2023-08-30 06:12:27.620981
Sticker | Patsi (Glitter) | Rio 2022,571,0.07,CDN,2023-08-30 06:12:27.620981
Sticker | Zyphon (Glitter) | Rio 2022,751,0.07,CDN,2023-08-30 06:12:27.620981
Sticker | v4lde (Glitter) | Rio 2022,437,0.07,CDN,2023-08-30 06:12:30.875807
Sticker | magixx (Glitter) | Rio 2022,258,0.07,CDN,2023-08-30 06:12:30.875807
Sticker | refrezh (Glitter) | Rio 2022,371,0.07,CDN,2023-08-30 06:12:30.875807
Sticker | nexa | Rio 2022,"1,038",0.07,CDN,2023-08-30 06:12:30.875807
"Sticker | fame (Glitter, Champion) | Rio 2022",790,0.07,CDN,2023-08-30 06:12:30.875807
Sticker | SENER1 (Glitter) | Rio 2022,241,0.07,CDN,2023-08-30 06:12:30.875807
Sticker | F1KU (Glitter) | Rio 2022,421,0.07,CDN,2023-08-30 06:12:30.875807
Sticker | stavn (Glitter) | Rio 2022,204,0.07,CDN,2023-08-30 06:12:30.875807
Sticker | IEM (Glitter) | Rio 2022,"6,047",0.07,CDN,2023-08-30 06:12:30.875807
Sticker | TeSeS (Glitter) | Rio 2022,320,0.07,CDN,2023-08-30 06:12:30.875807
Sticker | EliGE (Glitter) | Rio 2022,417,0.07,CDN,2023-08-30 06:12:33.559843
Sticker | nitr0 (Glitter) | Rio 2022,298,0.07,CDN,2023-08-30 06:12:33.559843
Sticker | Keoz (Glitter) | Rio 2022,370,0.07,CDN,2023-08-30 06:12:33.559843
Sticker | chopper (Glitter) | Rio 2022,353,0.07,CDN,2023-08-30 06:12:33.559843
"Sticker | n0rb3r7 (Glitter, Champion) | Rio 2022",743,0.07,CDN,2023-08-30 06:12:33.559843
Sticker | Brehze (Glitter) | Rio 2022,610,0.07,CDN,2023-08-30 06:12:33.559843
Sticker | neaLaN (Glitter) | Rio 2022,337,0.07,CDN,2023-08-30 06:12:33.559843
Sticker | Krimbo (Glitter) | Rio 2022,801,0.07,CDN,2023-08-30 06:12:33.559843
Sticker | Brollan (Glitter) | Rio 2022,317,0.07,CDN,2023-08-30 06:12:33.559843
Sticker | roeJ (Glitter) | Rio 2022,316,0.07,CDN,2023-08-30 06:12:33.559843
Sticker | Snappi (Glitter) | Rio 2022,466,0.08,CDN,2023-08-30 06:12:34.765400
Sticker | vexite (Glitter) | Rio 2022,307,0.08,CDN,2023-08-30 06:12:34.765400
Sticker | acoR (Glitter) | Rio 2022,298,0.08,CDN,2023-08-30 06:12:34.765400
"Sticker | FL1T (Glitter, Champion) | Rio 2022",531,0.08,CDN,2023-08-30 06:12:34.765400
Sticker | FASHR (Glitter) | Rio 2022,272,0.08,CDN,2023-08-30 06:12:34.765400
Sticker | faveN (Glitter) | Rio 2022,654,0.08,CDN,2023-08-30 06:12:34.765400
Sticker | dgt (Glitter) | Rio 2022,525,0.08,CDN,2023-08-30 06:12:34.765400
Sticker | sinnopsyy (Glitter) | Rio 2022,486,0.08,CDN,2023-08-30 06:12:34.765400
Sticker | sjuush (Glitter) | Rio 2022,361,0.08,CDN,2023-08-30 06:12:34.765400
Sticker | REZ (Glitter) | Rio 2022,161,0.08,CDN,2023-08-30 06:12:34.765400
Sticker | juanflatroo (Glitter) | Rio 2022,330,0.08,CDN,2023-08-30 06:12:40.554538
Sticker | FL1T (Glitter) | Rio 2022,235,0.08,CDN,2023-08-30 06:12:40.554538
Sticker | Aleksib (Glitter) | Rio 2022,210,0.08,CDN,2023-08-30 06:12:40.554538
"Sticker | Jame (Glitter, Champion) | Rio 2022",501,0.08,CDN,2023-08-30 06:12:40.554538
Sticker | maden (Glitter) | Rio 2022,384,0.08,CDN,2023-08-30 06:12:40.554538
Sticker | tabseN (Glitter) | Rio 2022,401,0.08,CDN,2023-08-30 06:12:40.554538
Sticker | S1ren (Glitter) | Rio 2022,420,0.08,CDN,2023-08-30 06:12:40.554538
Sticker | lauNX (Glitter) | Rio 2022,575,0.08,CDN,2023-08-30 06:12:40.554538
Sticker | Sico (Glitter) | Rio 2022,323,0.08,CDN,2023-08-30 06:12:40.554538
Sticker | max | Rio 2022,559,0.08,CDN,2023-08-30 06:12:40.554538
Sticker | aliStair (Glitter) | Rio 2022,207,0.08,CDN,2023-08-30 06:12:43.259697
Sticker | NEOFRAG (Glitter) | Rio 2022,369,0.08,CDN,2023-08-30 06:12:43.259697
Sticker | autimatic (Glitter) | Rio 2022,246,0.08,CDN,2023-08-30 06:12:43.259697
Sticker | chelo (Glitter) | Rio 2022,345,0.08,CDN,2023-08-30 06:12:43.259697
Sticker | HexT (Glitter) | Rio 2022,295,0.08,CDN,2023-08-30 06:12:43.259697
Sticker | latto (Glitter) | Rio 2022,462,0.08,CDN,2023-08-30 06:12:43.259697
Sticker | qikert (Glitter) | Rio 2022,161,0.08,CDN,2023-08-30 06:12:43.259697
Sticker | dumau (Glitter) | Rio 2022,233,0.08,CDN,2023-08-30 06:12:43.259697
Sticker | yuurih (Glitter) | Rio 2022,362,0.08,CDN,2023-08-30 06:12:43.259697
Sticker | SunPayus (Glitter) | Rio 2022,162,0.08,CDN,2023-08-30 06:12:43.259697
Sticker | k1to (Glitter) | Rio 2022,259,0.08,CDN,2023-08-30 06:12:46.030477
Sticker | Grayhound Gaming (Glitter) | Rio 2022,"1,743",0.08,CDN,2023-08-30 06:12:46.030477
Sticker | drop (Glitter) | Rio 2022,218,0.08,CDN,2023-08-30 06:12:46.030477
Sticker | coldzera | Rio 2022,695,0.08,CDN,2023-08-30 06:12:46.030477
Sticker | Ax1Le | Rio 2022,561,0.09,CDN,2023-08-30 06:12:46.030477
Sticker | bLitz (Glitter) | Rio 2022,394,0.09,CDN,2023-08-30 06:12:46.030477
Sticker | es3tag | Rio 2022,736,0.09,CDN,2023-08-30 06:12:46.030477
Sticker | jabbi (Glitter) | Rio 2022,226,0.09,CDN,2023-08-30 06:12:46.030477
Sticker | ANNIHILATION (Glitter) | Rio 2022,181,0.09,CDN,2023-08-30 06:12:46.030477
Sticker | rigoN (Glitter) | Rio 2022,299,0.09,CDN,2023-08-30 06:12:46.030477
Sticker | nicoodoz (Glitter) | Rio 2022,171,0.09,CDN,2023-08-30 06:13:03.045307
Sticker | Spinx (Glitter) | Rio 2022,236,0.09,CDN,2023-08-30 06:13:03.045307
Sticker | Perfecto (Glitter) | Rio 2022,224,0.09,CDN,2023-08-30 06:13:03.045307
Sticker | xertioN (Glitter) | Rio 2022,209,0.09,CDN,2023-08-30 06:13:03.045307
Sticker | NAF (Glitter) | Rio 2022,457,0.09,CDN,2023-08-30 06:13:03.045307
Sticker | mezii (Glitter) | Rio 2022,525,0.09,CDN,2023-08-30 06:13:03.045307
Sticker | Cloud9 | Rio 2022,"10,915",0.09,CDN,2023-08-30 06:13:03.045307
Sticker | broky (Glitter) | Rio 2022,147,0.1,CDN,2023-08-30 06:13:03.045307
Sticker | boltz (Glitter) | Rio 2022,488,0.1,CDN,2023-08-30 06:13:03.045307
Sticker | sh1ro | Rio 2022,417,0.1,CDN,2023-08-30 06:13:03.045307
Sticker | fame (Glitter) | Rio 2022,344,0.1,CDN,2023-08-30 06:13:05.726314
Sticker | siuhy (Glitter) | Rio 2022,178,0.1,CDN,2023-08-30 06:13:05.726314
Sticker | Staehr (Glitter) | Rio 2022,301,0.1,CDN,2023-08-30 06:13:05.726314
Sticker | saffee (Glitter) | Rio 2022,321,0.1,CDN,2023-08-30 06:13:05.726314
Sticker | KRIMZ (Glitter) | Rio 2022,183,0.1,CDN,2023-08-30 06:13:05.726314
Sticker | CeRq (Glitter) | Rio 2022,233,0.1,CDN,2023-08-30 06:13:05.726314
Sticker | VINI | Rio 2022,441,0.11,CDN,2023-08-30 06:13:05.726314
Sticker | dav1deuS (Glitter) | Rio 2022,287,0.11,CDN,2023-08-30 06:13:05.726314
Sticker | JDC (Glitter) | Rio 2022,236,0.11,CDN,2023-08-30 06:13:05.726314
Sticker | interz (Glitter) | Rio 2022,319,0.11,CDN,2023-08-30 06:13:05.726314
Sticker | Dycha (Glitter) | Rio 2022,356,0.11,CDN,2023-08-30 06:13:08.385170
Sticker | INS | Rio 2022,"1,601",0.11,CDN,2023-08-30 06:13:08.385170
Sticker | n0rb3r7 (Glitter) | Rio 2022,101,0.11,CDN,2023-08-30 06:13:08.385170
Sticker | ZywOo | Rio 2022,841,0.11,CDN,2023-08-30 06:13:08.385170
Sticker | Magisk (Glitter) | Rio 2022,141,0.11,CDN,2023-08-30 06:13:08.385170
Sticker | YEKINDAR (Glitter) | Rio 2022,256,0.11,CDN,2023-08-30 06:13:08.385170
Sticker | MOUZ | Rio 2022,"10,511",0.11,CDN,2023-08-30 06:13:08.385170
Sticker | oSee (Glitter) | Rio 2022,170,0.11,CDN,2023-08-30 06:13:08.385170
Sticker | kabal (Glitter) | Rio 2022,120,0.11,CDN,2023-08-30 06:13:08.385170
Sticker | BIG (Glitter) | Rio 2022,"2,510",0.11,CDN,2023-08-30 06:13:08.385170
Sticker | ENCE (Glitter) | Rio 2022,"1,841",0.11,CDN,2023-08-30 06:13:13.637098
Sticker | torzsi (Glitter) | Rio 2022,244,0.11,CDN,2023-08-30 06:13:13.637098
Sticker | isak (Glitter) | Rio 2022,328,0.12,CDN,2023-08-30 06:13:13.637098
Sticker | sdy (Glitter) | Rio 2022,178,0.12,CDN,2023-08-30 06:13:13.637098
Sticker | BUDA (Glitter) | Rio 2022,200,0.12,CDN,2023-08-30 06:13:13.637098
Sticker | dupreeh (Glitter) | Rio 2022,149,0.12,CDN,2023-08-30 06:13:13.637098
Sticker | karrigan (Glitter) | Rio 2022,323,0.13,CDN,2023-08-30 06:13:13.637098
Sticker | Bad News Eagles (Glitter) | Rio 2022,"1,308",0.13,CDN,2023-08-30 06:13:13.637098
Sticker | Ninjas in Pyjamas (Glitter) | Rio 2022,990,0.13,CDN,2023-08-30 06:13:13.637098
Sticker | nafany (Glitter) | Rio 2022,171,0.13,CDN,2023-08-30 06:13:13.637098
Sticker | gxx- (Glitter) | Rio 2022,122,0.13,CDN,2023-08-30 06:13:15.255816
Sticker | Evil Geniuses (Glitter) | Rio 2022,"1,517",0.14,CDN,2023-08-30 06:13:15.255816
Sticker | electronic (Glitter) | Rio 2022,341,0.14,CDN,2023-08-30 06:13:15.255816
Sticker | TRY (Glitter) | Rio 2022,165,0.14,CDN,2023-08-30 06:13:15.255816
Sticker | Liazz (Glitter) | Rio 2022,173,0.14,CDN,2023-08-30 06:13:15.255816
Sticker | IHC Esports (Glitter) | Rio 2022,"1,924",0.15,CDN,2023-08-30 06:13:15.255816
Sticker | FlameZ (Glitter) | Rio 2022,156,0.15,CDN,2023-08-30 06:13:15.255816
Sticker | syrsoN (Glitter) | Rio 2022,189,0.15,CDN,2023-08-30 06:13:15.255816
Sticker | Hobbit (Glitter) | Rio 2022,215,0.15,CDN,2023-08-30 06:13:15.255816
Sticker | apEX (Glitter) | Rio 2022,136,0.15,CDN,2023-08-30 06:13:15.255816
Sticker | OG (Glitter) | Rio 2022,"1,246",0.16,CDN,2023-08-30 06:13:17.884236
Sticker | GamerLegion (Glitter) | Rio 2022,"1,197",0.16,CDN,2023-08-30 06:13:17.884236
Sticker | fer (Glitter) | Rio 2022,230,0.16,CDN,2023-08-30 06:13:17.884236
Sticker | frozen (Glitter) | Rio 2022,205,0.17,CDN,2023-08-30 06:13:17.884236
Sticker | Vitality (Glitter) | Rio 2022,"1,122",0.17,CDN,2023-08-30 06:13:17.884236
Sticker | w0nderful (Glitter) | Rio 2022,178,0.17,CDN,2023-08-30 06:13:17.884236
Sticker | TACO (Glitter) | Rio 2022,169,0.18,CDN,2023-08-30 06:13:17.884236
Sticker | rain (Glitter) | Rio 2022,167,0.18,CDN,2023-08-30 06:13:17.884236
Sticker | cadiaN (Glitter) | Rio 2022,91,0.18,CDN,2023-08-30 06:13:17.884236
Sticker | KSCERATO (Glitter) | Rio 2022,205,0.19,CDN,2023-08-30 06:13:17.884236
Sticker | sk0R (Glitter) | Rio 2022,102,0.19,CDN,2023-08-30 06:13:21.019567
Sticker | FalleN | Rio 2022,"1,711",0.19,CDN,2023-08-30 06:13:21.019567
Sticker | degster (Glitter) | Rio 2022,178,0.2,CDN,2023-08-30 06:13:21.019567
Sticker | Heroic (Glitter) | Rio 2022,"1,028",0.2,CDN,2023-08-30 06:13:21.019567
Sticker | b1t (Glitter) | Rio 2022,138,0.23,CDN,2023-08-30 06:13:21.019567
Sticker | Team Liquid (Glitter) | Rio 2022,685,0.24,CDN,2023-08-30 06:13:21.019567
Sticker | Jame (Glitter) | Rio 2022,125,0.27,CDN,2023-08-30 06:13:21.019567
Sticker | s1mple | Rio 2022,548,0.28,CDN,2023-08-30 06:13:21.019567
Sticker | max (Glitter) | Rio 2022,168,0.28,CDN,2023-08-30 06:13:21.019567
Sticker | ropz (Glitter) | Rio 2022,176,0.29,CDN,2023-08-30 06:13:21.019567
Sticker | NQZ | Rio 2022,177,0.29,CDN,2023-08-30 06:13:25.204959
Sticker | Fnatic (Glitter) | Rio 2022,"1,072",0.29,CDN,2023-08-30 06:13:25.204959
Sticker | Sprout Esports (Glitter) | Rio 2022,"1,107",0.29,CDN,2023-08-30 06:13:25.204959
Sticker | 00 Nation | Rio 2022,"2,371",0.32,CDN,2023-08-30 06:13:25.204959
Sticker | Team Spirit (Glitter) | Rio 2022,659,0.35,CDN,2023-08-30 06:13:25.204959
Sticker | Natus Vincere (Glitter) | Rio 2022,550,0.35,CDN,2023-08-30 06:13:25.204959
Sticker | Ax1Le (Glitter) | Rio 2022,103,0.36,CDN,2023-08-30 06:13:25.204959
Sticker | coldzera (Glitter) | Rio 2022,201,0.38,CDN,2023-08-30 06:13:25.204959
Sticker | FURIA (Glitter) | Rio 2022,719,0.38,CDN,2023-08-30 06:13:25.204959
Sticker | Twistzz (Glitter) | Rio 2022,120,0.39,CDN,2023-08-30 06:13:25.204959
Sticker | iM (Glitter) | Rio 2022,101,0.4,CDN,2023-08-30 06:13:27.353144
